Breed ,Dog_Size,Dog_Breed_Group,Height,Avg_Height,Weight,Avg_Weight,Avg_weight_kg,Life_Span,Avg_Life_Span,Adaptability,Apartment_Living,Novice_Owners,Sensitivity,Tolerates_Being_Alone,Cold_Weather,Hot_Weather,Overall_Friendliness,Affectionate_Family,Kid_Friendly,Dog_Friendly,Friendly_To_Strangers,Health_Grooming_Needs,Shedding,Drooling,Easy_To_Groom,Health,Weight_Gain,Size,Trainability,Easy_To_Train,Intelligence,Mouthiness,Prey_Drive,Bark_Tendency,Wanderlust,Physical_Needs,Energy_Level,Intensity,Exercise,Playfulness,Image
Alaskan Klee Kai,Medium,Companion Dogs,13 to 17 inches,38.1,10 to 15 pounds,12,5.62,12 to 16 years,14,3.2,3,2,4,2,5,2,3,4,3,2,2,3.2,4,2,4,4,2,2,3.6,4,4,2,5,3,4,3.33,4,2,4,4,https://www.dogtime.com/assets/uploads/2017/11/alaskan-klee-kai-breed-pictures-cover-650x368.jpg
Alaskan Malamute,Very Large,Working Dogs,23 to 25 inches tall at the shoulder,60.96,75 to 100 pounds,87,39.38,12 to 15 years,14,2.4,1,1,4,1,5,2,3,4,3,2,5,2.8,5,1,1,4,3,4,4,4,4,3,4,5,5,5,5,5,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22908_alaskan-malamute-300x189.jpg
American Bulldog,Very Large,Working Dogs,20 to 28 inches,60.96,60 to 120 pounds,89,40.5,10 to 16 years,13,1.8,1,1,4,1,2,2,3.67,5,4,2,2,2.8,1,4,4,3,2,4,3,4,3,2,4,2,3,4,4,4,4,4,https://www.dogtime.com/assets/uploads/2017/12/american-bulldog-breed-pictures-9-650x368.jpg
American English Coonhound,Very Large,Hound Dogs,23 to 26 inches tall at the shoulder,62.23,40 to 75 pounds,57,25.88,10 to 12 years,11,2.8,1,2,5,2,4,4,4.67,5,5,4,5,3.2,3,1,5,4,3,3,4.4,5,4,3,5,5,5,5,5,5,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23236_american-english-coonhound-300x189.jpg
American Eskimo Dog,Large,Companion Dogs,15 to 19 inches tall at the shoulder,43.18,Starts at 30 pounds,30,13.5,12 to 15 years,14,4,5,4,4,2,5,3,5,5,5,5,4,3.6,5,1,3,5,4,2,3.8,5,4,3,3,4,3,4,5,3,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_23134_american-eskimo-dog-300x189.jpg
American Foxhound,Very Large,Hound Dogs,21 to 25 inches tall at the shoulder,58.42,40 to 60 pounds,50,22.5,12 to 13 years,12,2,1,2,2,1,4,4,4.67,4,5,5,4,3.8,3,1,5,5,5,3,3.4,2,3,3,4,5,5,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23006_american-foxhound-300x189.jpg
American Hairless Terrier,Medium,Terrier Dogs,12 to 16 inches,35.56,10 to 16 pounds,13,5.85,13 to 16 years,14,2.6,4,3,3,2,1,3,3.67,4,4,3,3,3,1,1,5,4,4,2,3.4,3,4,3,4,3,3,3.33,4,3,3,5,https://www.dogtime.com/assets/uploads/2020/04/american-hairless-terrier-dog-breed-pictures-cover-650x368.jpg
American Leopard Hound,Very Large,Hound Dogs,21 to 27 Inches.,60.96,35 to 75 pounds. ,55,24.75,12 to 15 years. ,14,3.2,2,4,3,3,4,4,4.33,5,4,4,3,2.8,2,2,4,4,2,4,3.8,4,4,3,4,4,4,3.67,4,3,4,4,https://www.dogtime.com/assets/uploads/2019/09/american-leopard-hound-dog-breed-picture-cover-650x368.jpg
American Pit Bull Terrier,Very Large,Terrier Dogs,17 to 19 inches tall at the shoulder,45.72,30 to 85 pounds,57,25.88,12 to 16 years,14,2.4,3,2,4,1,2,3,3.67,5,5,1,5,3.4,4,1,5,4,3,3,3.8,4,4,5,3,3,4,4.33,4,5,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_23052_pitbull-dog-breed-pittie-300x189.jpg
American Pugabull,Very Large,Mixed Breed Dogs,12 to 20 inches,40.64,25 to 70 pounds ,47,21.38,12 to 14 years ,13,2.6,3,3,4,1,2,3,4,5,4,3,3,3,3,3,4,2,3,3,3.2,3,3,2,4,4,2,3.67,4,4,3,5,https://www.dogtime.com/assets/uploads/2019/08/american-pugabull-mixed-dog-breed-pictures-cover-650x368.jpg
American Staffordshire Terrier,Very Large,Terrier Dogs,16 to 19 inches,44.45,40 to 60 pounds,50,22.5,10 to 15 years,12,2.2,2,2,3,2,2,3,3.33,4,4,2,4,2.8,2,3,4,3,2,3,4,4,4,5,3,4,3,3.67,3,5,3,4,https://www.dogtime.com/assets/uploads/2018/01/american-staffordshire-terrier-dog-breed-pictures-cover-650x368.jpg
American Water Spaniel,Large,Sporting Dogs,15 to 18 tall at the shoulder,41.91,25 to 45 pounds,35,15.75,12 to 15 years,14,2.4,2,2,5,1,2,4,4,5,5,2,3,2.6,3,1,3,3,3,3,3.4,4,3,5,2,3,5,4,5,2,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22954_american-water-spaniel-300x189.jpg
Anatolian Shepherd Dog,Very Large,Working Dogs,23 to 29 tall at the shoulder,66.04,80 to 150 pounds,114,51.75,11 to 13 years,12,3,1,2,4,3,5,3,2.33,3,2,2,1,3,2,3,4,3,3,5,2.8,4,4,2,2,2,4,3,3,3,3,3,https://www.dogtime.com/assets/uploads/2011/01/file_22910_anatolian-shepherd-dog-300x189.jpg
Appenzeller Sennenhunde,Very Large,Herding Dogs,19 to 22 inches tall at the shoulder,52.07,48 to 55 pounds,51,23.18,9 to 12 years,10,2.6,1,3,3,1,5,4,4.33,5,5,3,2,3.2,3,1,5,4,3,3,4.2,4,4,5,3,5,3,4.33,4,4,5,4,https://www.dogtime.com/assets/uploads/2011/01/file_23244_what-is-the-appenzeller-sennenhunde-dog-300x189.jpg
Auggie,Large,Mixed Breed Dogs,10 to 13 inches,29.21,20 to 30 pounds,25,11.25,12 to 15 years,14,3.2,2,3,4,3,4,3,5,5,5,5,4,2.8,4,1,2,3,4,3,4,5,5,3,3,4,3,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2019/09/auggie-mixed-dog-breed-pictures-cover-650x368.jpg
Aussiedoodle,Very Large,Mixed Breed Dogs,10 to 15 inches,31.75,25 to 70 pounds,47,21.38,10 to 13 years,12,2.6,2,3,3,2,3,3,4.33,5,4,4,4,3.6,3,4,3,4,4,3,3.6,5,5,3,3,2,3,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2019/07/aussiedoodle-mixed-dog-breed-pictures-cover-650x368.jpg
Aussiepom,Medium,Mixed Breed Dogs,11 to 17 inches,35.56,10 to 30 pounds,20,9,12 to 15 years,14,2.6,3,2,3,2,3,3,3.67,4,3,4,4,3,3,2,2,4,4,3,3.4,4,4,4,2,3,2,4,5,3,4,5,https://www.dogtime.com/assets/uploads/2019/07/aussiepom-mixed-dog-breed-pictures-cover-650x368.jpg
Australian Cattle Dog,Large,Herding Dogs,17 to 20 inches tall at the shoulder,46.99,30 to 50 pounds,40,18,12 to 15 years,14,2.8,2,1,4,3,4,4,4,5,3,4,2,3.4,3,1,4,5,4,3,4.2,5,5,5,4,2,4,5,5,5,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23166_australian-cattle-dog-300x189.jpg
Australian Kelpie,Large,Herding Dogs,15 to 20 inches,44.45,25 to 46 pounds,35,15.98,10 to 15 years,12,2.6,2,2,4,2,3,5,3,4,2,3,2,2.6,3,1,4,3,2,3,4.6,5,5,5,4,4,4,4.33,5,3,5,4,https://www.dogtime.com/assets/uploads/2018/04/australian-kelpie-dog-breed-pictures-header-650x368.jpg
Australian Retriever,Large,Mixed Breed Dogs,19 to 23 inches,53.34,25 to 60 pounds,42,19.12,12 to 15 years,14,2.8,1,4,3,2,4,4,3.67,4,4,3,3,3.2,3,2,3,4,4,4,3,4,4,2,3,2,4,4.33,5,3,5,4,https://www.dogtime.com/assets/uploads/2019/10/australian-retriever-mixed-dog-breed-pictures-cover-650x368.jpg
Australian Shepherd,Very Large,Herding Dogs,18 to 23 inches tall at the shoulder,52.07,40 to 65 pounds,52,23.62,12 to 15 years,14,2.8,1,2,5,2,4,4,4.67,5,4,5,3,2.2,3,1,1,2,4,3,4.4,5,5,4,4,4,5,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23168_australian-shepherd-300x189.jpg
Australian Shepherd Husky,Very Large,Mixed Breed Dogs,18 to 25 inches,54.61,40 to 65 pounds,52,23.62,12 to 15 years,14,2.6,1,2,4,1,5,4,3.33,5,3,2,2,3.2,4,2,3,3,4,4,4.2,4,5,3,4,5,5,5,5,5,5,5,https://www.dogtime.com/assets/uploads/2019/12/australian-shepherd-husky-mixed-dog-breed-pictures-cover-650x368.jpg
Australian Shepherd Lab Mix,Very Large,Mixed Breed Dogs,22 to 25 inches ,59.69,40 to 80 pounds,60,27,12 to 15 years ,14,3.6,2,2,5,4,5,4,4,4,4,4,4,3.4,4,2,4,4,3,4,4,5,5,4,3,3,5,5,5,5,5,5,https://www.dogtime.com/assets/uploads/2019/12/australian-shepherd-lab-mixed-dog-breed-pictures-cover-650x368.jpg
Australian Shepherd Pit Bull Mix,Very Large,Mixed Breed Dogs,17 to 23 inches,50.8,30 to 85 pounds,57,25.88,10 to 16 years,13,2.6,2,3,3,2,3,3,3.67,4,4,3,3,3.6,4,2,3,4,5,4,3.4,4,4,3,4,2,3,3.67,4,3,4,4,https://www.dogtime.com/assets/uploads/2020/01/australian-shepherd-pit-bull-mixed-dog-breed-pictures-cover-650x368.jpg
Australian Stumpy Tail Cattle Dog,Large,Herding Dogs,17 to 20 inches,46.99,35 to 51 pounds,43,19.35,13 to 15 years,14,2.4,1,2,3,2,4,4,2.67,3,3,2,2,3.4,4,2,3,4,4,3,3,3,4,3,3,2,4,4.67,5,4,5,3,https://www.dogtime.com/assets/uploads/2020/05/Australian-Stumpy-Tail-Cattle-Dog-cover-650x368.jpg
Australian Terrier,Medium,Terrier Dogs,10 to 11 inches tall at the shoulder,26.67,14 to 16 pounds,15,6.75,Up to 15 years,15,3,5,3,2,2,3,4,3,4,3,2,3,3,1,1,5,5,3,1,3.6,3,4,1,5,5,4,4.67,5,5,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_23054_australian-terrier-300x189.jpg
Azawakh,Large,Hound Dogs,23 to 27 inches tall at the shoulder,63.5,33 to 55 pounds,44,19.8,12 to 15 years,14,2.8,5,2,3,3,1,5,3,4,2,3,2,3,3,1,5,3,3,4,2.8,3,3,3,4,1,2,3,3,2,4,3,https://www.dogtime.com/assets/uploads/2011/01/file_23286_azawakh-300x189.jpg
Barbet,Very Large,Sporting Dogs,20 to 25 inches tall at the shoulder,57.15,37 to 62 pounds,49,22.28,13 to 15 years,14,2.6,3,2,3,1,4,4,4.33,5,4,4,3,2.2,2,1,1,4,3,3,3.2,4,4,2,3,3,3,3.67,5,3,3,4,https://www.dogtime.com/assets/uploads/2011/01/file_23288_barbet-300x189.jpg
Basenji,Medium,Hound Dogs,16 to 17 inches tall at the shoulder,41.91,22 to 24 pounds,23,10.35,10 to 12 years,11,3.4,5,4,3,4,1,4,4.67,5,5,4,5,2.2,1,1,5,2,2,2,3.2,1,4,5,5,1,5,3.67,5,1,5,2,https://www.dogtime.com/assets/uploads/2011/01/file_23008_basenji-300x189.jpg
Bassador,Very Large,Mixed Breed Dogs,13 to 20 inches,41.91,45 to 70 pounds,57,25.88,10 to 12 years,11,2.8,2,2,3,3,4,4,3,3,3,3,3,3.6,5,4,3,3,3,4,2.8,2,3,2,4,3,3,3,3,2,4,3,https://www.dogtime.com/assets/uploads/2019/07/bassador-mixed-breed-dog-pictures-cover-650x368.jpg
Basset Fauve de Bretagne,Large,Hound Dogs,12 to 15 inches. ,34.29,25 to 35 pounds. ,30,13.5,12 to 15 years. ,14,3.4,4,4,3,3,3,1,4.33,5,4,4,3,2.6,2,1,4,5,1,2,3.2,3,5,3,3,2,1,3.33,4,2,4,3,https://www.dogtime.com/assets/uploads/2019/09/Basset-Fauve-de-Bretagne-dog-breed-pictures-cover-650x368.jpg
Basset Hound,Very Large,Hound Dogs,Up to 14 inches tall at the shoulder,35.56,50 to 65 pounds,57,25.88,10 to 12 years,11,3.6,5,4,4,3,2,2,5,5,5,5,5,3.8,4,4,5,1,5,3,3.6,2,4,3,5,4,5,2,2,2,2,2,https://www.dogtime.com/assets/uploads/2011/01/file_23010_basset-hound-300x189.jpg
Basset Retriever,Very Large,Mixed Breed Dogs,10 to 14 inches,30.48,40 to 70 pounds,55,24.75,10 to 12 years,11,2.8,3,3,2,2,4,4,3.67,4,4,3,4,3.2,2,2,4,4,4,3,3.8,4,5,3,5,2,4,3.33,4,2,4,4,https://www.dogtime.com/assets/uploads/2019/11/basset-retriever-mixed-dog-breed-pictures-cover-650x368.jpg
Bavarian Mountain Scent Hound,Very Large,Hound Dogs,17 to 20 inches.,46.99,44 to 55 pounds. ,49,22.28,10 to 14 years. ,12,2.2,2,3,2,2,2,3,4,5,4,3,2,2.4,1,2,3,4,2,3,3,3,4,2,4,2,2,3.33,4,2,4,4,https://www.dogtime.com/assets/uploads/2019/09/Bavarian-Mountain-Scent-Hound-dog-breed-pictures-cover-650x368.jpg
Beabull,Very Large,Mixed Breed Dogs,12 to 16 inches,35.56,30 to 60 pounds,45,20.25,10 to 13 years,12,3.4,4,3,4,4,2,2,4.67,5,5,4,3,3.8,4,3,5,3,4,3,3.6,3,3,4,4,4,4,3.33,3,4,3,5,https://www.dogtime.com/assets/uploads/2019/12/beabull-mixed-dog-breed-pictures-cover-650x368.jpg
Beagle,Medium,Hound Dogs,13 to 15 inches tall at the shoulder,35.56,18 to 30 pounds,24,10.8,10 to 15 years,12,2.8,4,3,4,1,2,4,5,5,5,5,5,2.8,3,1,4,1,5,2,3.6,1,4,3,5,5,5,4.33,4,5,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_23012_beagle-300x189.jpg
Beaglier,Medium,Mixed Breed Dogs,12 to 16 inches ,35.56,10 to 20 pounds,15,6.75,10 to 15 years ,12,3.2,5,4,4,1,2,3,5,5,5,5,5,3,3,1,4,2,5,2,3.2,2,4,3,3,4,4,3.33,3,3,4,5,https://www.dogtime.com/assets/uploads/2019/11/beaglier-mixed-dog-breed-pictures-cover-650x368.jpg
Bearded Collie,Very Large,Herding Dogs,20 to 22 inches tall at the shoulder,53.34,45 to 55 pounds,50,22.5,12 to 14 years,13,3.4,3,4,4,2,4,3,4.67,5,4,5,4,2.8,4,1,2,3,4,3,3.6,5,4,3,3,3,5,4,4,4,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_23170_bearded-collie-300x189.jpg
Bedlington Terrier,Medium,Terrier Dogs,15 to 16 inches tall at the shoulder,39.37,17 to 23 pounds,20,9,14 to 16 years,15,3.6,4,4,3,3,4,3,4.33,5,4,4,5,2.8,5,1,1,4,3,3,4,3,5,4,5,3,4,3.33,4,2,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_23056_bedlington-terrier-300x189.jpg
Belgian Laekenois,Very Large,Herding Dogs,22 to 26 inches,60.96,44 to 66 pounds,55,24.75,10 to 12 years,11,2.6,3,3,2,2,3,3,4,4,4,4,3,3.2,3,3,4,3,3,4,3,3,4,2,4,2,3,3.67,4,3,4,4,https://www.dogtime.com/assets/uploads/2020/10/Belgian-Laekenois-dog-breed-pictures-cover-650x368.jpg
Belgian Malinois,Very Large,Herding Dogs,22 to 26 inches tall at the shoulder,60.96,40 to 80 pounds,60,27,12 to 14 years,13,3.2,1,3,5,3,4,4,3.67,5,4,2,3,2.8,2,1,5,4,2,4,3.8,5,5,3,4,2,3,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23172_belgian-malinois-300x189.jpg
Belgian Sheepdog,Very Large,Herding Dogs,22 to 26 inches tall at the shoulder,60.96,60 to 75 pounds,67,30.38,10 to 12 years,11,3.6,3,3,5,3,4,3,4.67,4,5,5,4,2.8,5,1,3,3,2,4,3.6,5,5,2,5,1,4,4.33,5,3,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23174_belgian-sheepdog-300x189.jpg
Belgian Tervuren,Very Large,Herding Dogs,21 to 26 inches tall at the shoulder,59.69,40 to 70 pounds,55,24.75,10 to 12 years,11,3.2,3,3,5,1,4,3,3.33,4,3,3,3,2.6,4,1,3,3,2,4,3.8,5,5,2,2,5,4,4,5,3,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_23176_belgian-tervuren-300x189.jpg
Bergamasco Sheepdog,Very Large,Herding Dogs,20 to 24 inches,55.88,55 to 85 pounds,69,31.5,13 to 15 years,14,3.2,3,4,2,3,4,3,4.33,4,5,4,4,2.8,2,1,4,5,2,3,3,3,5,2,2,3,3,3,4,2,3,4,https://www.dogtime.com/assets/uploads/2020/05/Bergamasco-Sheepdog-breed-pictures-cover-650x368.jpg
Berger Picard,Very Large,Herding Dogs,21 inches to 25 inches tall at the shoulder,58.42,50 to 70 pounds,60,27,13 to 14 years,14,3.8,3,4,5,3,4,3,4.33,5,5,3,2,3.6,4,1,5,5,3,4,3,4,4,2,3,2,2,4.33,5,3,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23290_berger-picard-300x189.jpg
Bernedoodle,Very Large,Mixed Breed Dogs,From 10 to 29 inches tall at the shoulder. as sizes vary from tiny to standard,49.53,From 10 to 90 pounds,50,22.5,12 to 18 years. Tiny Bernedoodles tend to live longer than standard.,15,3.4,3,3,4,2,5,3,4.67,5,5,4,3,2.6,1,2,3,4,3,3,3.8,4,5,4,3,3,3,3.33,4,3,3,5,https://www.dogtime.com/assets/uploads/2017/10/bernedoodle-dog-breed-pictures-cover-650x368.jpg
Bernese Mountain Dog,Very Large,Working Dogs,23 to 28 inches,64.77,70 to 115 pounds,92,41.62,6 to 10 years,8,2.6,1,2,4,1,5,1,4.33,5,5,3,5,3.4,5,4,3,1,4,5,4.4,4,4,5,5,4,3,3.33,4,3,3,4,https://www.dogtime.com/assets/uploads/2011/01/file_22912_bernese-mountain-dog-300x189.jpg
Bichon Frise,Small,Companion Dogs,9 to 11 inches tall at the shoulder,25.4,7 to 12 pounds,9,4.28,12 to 15 years,14,3.8,5,5,5,1,3,4,4.33,5,4,4,5,2.4,2,1,1,4,4,2,3.6,5,4,3,4,2,2,3.67,5,3,3,5,https://www.dogtime.com/assets/uploads/2011/01/file_23136_bichon-frise-300x189.jpg
Biewer Terrier,Very Small,Terrier Dogs,7 to 11 inches,22.86,4 to 8 pounds,6,2.7,12 to 15 years,14,3.2,5,3,3,3,2,3,4,5,4,3,3,2.6,1,1,4,4,3,1,2.8,3,4,3,1,3,1,3.67,5,3,3,4,https://www.dogtime.com/assets/uploads/2019/08/biewer-terrier-dog-breed-pictures-cover-650x368.jpg
Black and Tan Coonhound,Very Large,Hound Dogs,23 to 27 inches tall at the shoulder,63.5,75 to 100 pounds,87,39.38,10 to 12 years,11,2.4,1,2,3,2,4,4,5,5,5,5,5,4.4,5,3,4,5,5,3,3.6,2,5,1,5,5,5,5,5,5,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23014_black-and-tan-coonhound-300x189.jpg
Black Mouth Cur,Very Large,Working Dogs,16 to 25 inches,52.07,40 to 95 pounds,67,30.38,12 to 18 years,15,2.4,1,2,4,2,3,3,4.33,5,5,3,3,3.2,3,2,5,4,2,4,3.8,3,4,3,5,4,4,4,4,3,5,4,https://www.dogtime.com/assets/uploads/2017/11/black-mouth-cur-dog-breed-pictures-cover-650x368.jpg
Black Russian Terrier,Very Large,Working Dogs,26 to 28 inches at the shoulder,68.58,80 to 140 pounds,109,49.5,10 to 11 years,10,3,3,2,4,2,4,3,3.67,4,5,2,2,2.8,3,3,2,3,3,5,3.4,4,4,4,2,3,3,4,3,5,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_22914_black-russian-terrier-300x189.jpg
Bloodhound,Very Large,Hound Dogs,23 to 27 inches ttall at the shoulder,63.5,80 to 110 pounds,94,42.75,11 to 15 years,13,2.4,1,2,4,2,3,3,5,5,5,5,5,3.2,4,5,1,3,3,4,3.8,3,4,5,3,4,5,4.67,5,4,5,3,https://www.dogtime.com/assets/uploads/2011/01/file_23016_bloodhound-300x189.jpg
Blue Lacy,Large,Working Dogs,17 to 25 inches,53.34,25 to 50 pounds,37,16.88,12 to 16 years,14,2.4,1,1,4,2,4,5,3,4,3,2,2,3.2,3,2,5,4,2,3,4.8,5,5,4,5,5,4,5,5,5,5,4,https://www.dogtime.com/assets/uploads/2018/04/blue-lacy-dog-breed-pictures-header-650x368.jpg
Bluetick Coonhound,Very Large,Hound Dogs,23 to 30 inches tall at the shoulder,67.31,45 to 100 pounds,72,32.62,10 to 12 years,11,2.8,2,2,5,2,3,3,4.33,5,5,3,3,3.2,2,2,5,4,3,3,3.4,2,4,3,4,4,5,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23238_bluetick-coonhound-300x189.jpg
Bocker,Large,Mixed Breed Dogs,12 to 15 inches ,34.29,20 to 30 pounds ,25,11.25,12 to 15 years ,14,3.4,5,3,5,1,3,4,4.33,5,4,4,4,2.8,3,1,3,3,4,2,4.4,4,4,4,5,5,5,3.67,4,3,4,4,https://www.dogtime.com/assets/uploads/2019/09/bocker-mixed-dog-breed-pictures-cover-650x368.jpg
Boerboel,Very Large,Working Dogs,22 to 28 inches,63.5,110 to 200 pounds,154,69.75,10 to 12 years,11,2,1,1,3,2,3,4,3.33,4,4,2,2,3.6,3,4,4,4,3,5,3,2,4,3,3,3,4,3.67,3,4,4,4,https://www.dogtime.com/assets/uploads/2018/01/boerboel-dog-breed-pictures-cover-650x368.jpg
Boglen Terrier,Large,Mixed Breed Dogs,12 to 17 inches ,36.83,10 to 40 pounds,25,11.25,10 to 15 years ,12,3.2,4,4,4,2,2,3,5,5,5,5,5,2.6,2,1,4,3,3,2,3.2,2,2,4,4,4,5,4.33,4,5,4,5,https://www.dogtime.com/assets/uploads/2019/09/boglen-terrier-mixed-dog-breed-pictures-cover-650x368.jpg
Bohemian Shepherd,Very Large,Herding Dogs,19 to 22 inches,52.07,35 to 60 pounds,47,21.38,10 to 15 years,12,3,2,3,4,2,4,3,4,4,4,4,3,3.2,4,1,4,4,3,3,3,4,5,2,2,2,3,3.67,4,3,4,5,https://www.dogtime.com/assets/uploads/2020/04/Bohemian-Shepherd-dog-breed-pictures-cover-650x368.jpg
Bolognese,Small,Companion Dogs,9 to 12 inches tall at the shoulder,26.67,8 to 14 pounds,11,4.95,12 to 14 years,13,3.4,5,3,5,2,2,3,5,5,5,5,5,2.2,1,1,1,5,3,1,4.4,5,4,4,5,4,1,3.33,3,3,4,3,https://www.dogtime.com/assets/uploads/2011/01/file_23240_bolognese-300x189.jpg
Borador,Very Large,Hybrid Dogs,19 to 24 inches,54.61,40 to 65 pounds,52,23.62,10 to 15 years,12,2.6,3,3,2,2,3,3,4.33,5,4,4,4,3.4,4,3,3,3,4,4,3.4,4,5,3,3,2,3,3.67,4,3,4,5,https://www.dogtime.com/assets/uploads/2019/09/borador-mixed-dog-breed-pictures-cover-650x368.jpg
Border Collie,Large,Herding Dogs,18 to 22 inches tall at the shoulder,50.8,30 to 45 pounds,37,16.88,12 to 15 years,14,2.8,2,2,5,1,4,4,4,5,4,3,5,2.4,3,1,3,2,3,3,3.6,5,5,3,3,2,3,4.33,5,3,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23178_border-collie-300x189.jpg
